comment,author,date,like_count
"Hey guys! :) if you like my content and you have the means, please consider supporting my patreon! <a href=""https://www.patreon.com/broeydeschanel"">https://www.patreon.com/broeydeschanel</a>  and thanks again for watching!",Broey Deschanel,2021-01-26T17:13:02Z,1084
Great movie <br>Not terrifying,Richard Neighborly Sensei,2023-02-03T03:50:11Z,0
Mr park once loved a sex worker. And ooh was she beautiful. After that instance he resolved to be a millionaire.,6 9,2022-09-08T20:10:02Z,0
"Sharing it here in case anyone is interested in checking this out. Meet the son of Parasite Director Bong Joon-ho, Korea’s up-and-coming filmmaker Hyomin 🎬 It’s his first video interview! :)  <a href=""https://www.youtube.com/watch?v=ScNMFbaSSF4"">https://www.youtube.com/watch?v=ScNMFbaSSF4</a>",Asia 101 by The Korea Herald,2022-06-09T13:22:29Z,0
Hey! I wanted to put portuguese subtitles can you please open the option for us to add more subs,라라,2022-02-25T12:56:35Z,0
Thanks for the socialist lecture. Vile,Adam Alsbury,2022-02-19T13:47:58Z,0
That Anne Curtis Commercial tho hahahaha.,Patricia Ann Patungan,2023-05-28T16:30:00Z,0
"I may not be american enough, but I never thought once that the poor may be described as parasitic of park&#39;s family.",Fragilus_1er,2023-05-25T11:21:46Z,0
And the most ironic part of this idea is that the people who are affected most are intentionally kept too stupid to truly understand it.<br><br>We have backed ourselves into a corner and I cant see how we will ever get out,Conor M,2023-05-24T20:27:28Z,0
"The rich, especially landlords, are parasites of society.",Jessy B,2023-05-24T16:19:15Z,0
Alright I was putting up with this garbage until you said “Cleanliness and hygiene are social constructs”,chuggajr,2023-05-23T20:04:39Z,0
politician does not care :),Juhan Chung,2023-05-23T05:42:21Z,0
Every family dinner becomes a potential survival battle,Just a Person Who Comments,2023-05-23T01:01:55Z,0
Sure appreciate explaining the plot because I can’t read and watch simultaneously for some unknown medical reason I am unaware of due to capitalism and the US liberal agenda making me live like the characters in this film,Matt Harden,2023-05-22T14:22:46Z,0
